2024-04-14 16:32:14.797 [main] DEBUG api.test.UserTests - debugging
2024-04-14 16:32:14.807 [main] INFO  api.test.UserTests - ***Creating User
2024-04-14 16:32:19.258 [main] INFO  api.test.UserTests - ***User is Created
2024-04-14 16:32:19.268 [main] INFO  api.test.UserTests - ***Reading User Info****
2024-04-14 16:32:20.928 [main] INFO  api.test.UserTests - ***User Info retrievd****
2024-04-14 16:32:20.929 [main] INFO  api.test.UserTests - ***Update User Info****
2024-04-14 16:32:24.172 [main] INFO  api.test.UserTests - ***User Info updated****
2024-04-14 16:32:24.177 [main] INFO  api.test.UserTests - ***Delete User Info****
2024-04-14 16:32:25.728 [main] INFO  api.test.UserTests - *** User Info deleted****
2024-04-14 16:32:25.921 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-04-14 16:32:25.923 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-04-14 16:32:25.925 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
2024-04-14 16:32:26.457 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-04-14 16:32:26.459 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-04-14 16:32:26.460 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
2024-04-14 16:32:26.496 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-04-14 16:32:26.498 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-04-14 16:32:26.500 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
2024-04-14 16:32:26.575 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/_rels/workbook.xml.rels
2024-04-14 16:32:26.577 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /xl/worksheets/_rels/sheet1.xml.rels
2024-04-14 16:32:26.579 [main] DEBUG org.apache.poi.openxml4j.opc.PackageRelationshipCollection - Parsing relationship: /_rels/.rels
